U56637_at,CAPZA1
U03851_at,CAPZA2
Y10210_at,CARMIL1
Y10514_s_at,CARMIL1
Y10508_s_at,CARMIL1
Y10518_at,CARMIL1
L06845_at,CARS1
U20325_at,CARTPT
X80199_at,CASC3
M87507_s_at,CASP1
U60519_at,CASP10
U86214_at,CASP10
U13022_at,CASP2
U13021_s_at,CASP2
U13737_at,CASP3
U28014_at,CASP4
U28015_at,CASP5
U20536_s_at,CASP6
U67319_at,CASP7
X98172_at,CASP8
X98176_at,CASP8
X98178_s_at,CASP8
U60521_at,CASP9
U20760_at,CASR
D50855_s_at,CASR
U20759_s_at,CASR
D16217_at,CAST
U83601_at,CAST
X04085_rna1_at,CAT
U25433_at,CATR1
Z18951_at,CAV1
U32114_at,CAV2
L20298_at,CBFB
X57110_s_at,CBL
U26710_at,CBLB
U26712_at,CBLB
M63154_at,CBLIF
M58583_at,CBLN1
J04056_at,CBR1
L00972_at,CBS
U35451_at,CBX1
U26312_s_at,CBX3P9
L07515_at,CBX5
U79303_at,CCDC106
S72869_at,CCDC6
U63825_at,CCDC85B
D64159_at,CCDC88A
Z46967_at,CCIN
L00354_at,CCK
U23430_s_at,CCKAR
D13305_at,CCKBR
M57506_rna1_at,CCL1
D49372_s_at,CCL11
U46767_at,CCL13
Z49269_at,CCL14
D43767_at,CCL17
U77180_at,CCL19
M26683_at,CCL2
U64197_at,CCL20
AB002409_at,CCL21
U83171_at,CCL22
U83239_s_at,CCL22
U85767_at,CCL23
U86358_at,CCL25
M23178_s_at,CCL3L1
J04130_s_at,CCL4
M69203_s_at,CCL4L2
M21121_at,CCL5
X72308_at,CCL7
X99886_s_at,CCL8
U62015_at,CCN1
M92934_at,CCN2
X96584_at,CCN3
U66838_at,CCNA1
X51688_at,CCNA2
M25753_at,CCNB1
M74091_at,CCNC
X59798_at,CCND1
D13639_at,CCND2
M92287_at,CCND3
M74093_at,CCNE1
X95406_at,CCNE1
Z36714_at,CCNF
X77794_at,CCNG1
U47414_at,CCNG2
U11791_at,CCNH
D50310_at,CCNI
M87499_at,CCNO
D10925_at,CCR1
L09230_s_at,CCR1
U03905_at,CCR2
U95626_rna1_at,CCR2
U51241_at,CCR3
X85740_at,CCR4
U95626_rna3_at,CCR5
U83326_s_at,CCR5
X99393_s_at,CCR5
U68030_at,CCR6
U68031_at,CCR6
L31584_at,CCR7
U45983_at,CCR8
U45982_at,CCR9
AF014958_at,CCRL2
U90912_at,CCSER2
U91327_at,CCT2
X74801_at,CCT3
U38846_at,CCT4
D43950_at,CCT5
L27706_at,CCT6A
D78333_at,CCT6B
U83843_at,CCT7
D13627_at,CCT8
Z33642_at,CD101
X13334_at,CD14
D29963_at,CD151
Z22970_at,CD163L1
D14043_at,CD164
D83597_at,CD180
M84371_rna1_s_at,CD19
M28825_at,CD1A
M28826_at,CD1B
M28827_at,CD1C
L38820_at,CD1D
X14975_at,CD1E
M16336_s_at,CD2
X05323_at,CD200
X59350_at,CD22
U56102_at,CD226
L33930_s_at,CD24
J04132_at,CD247
S94421_at,CD247
M63928_at,CD27
M37815_cds1_at,CD28
X66171_at,CD300C
D14664_at,CD302
M23197_at,CD33
S53911_at,CD34
Z32765_at,CD36
M98399_s_at,CD36
X14046_at,CD37
D84276_at,CD38
X03934_at,CD3D
M23323_s_at,CD3E
X04145_at,CD3G
S79267_at,CD4
X60592_at,CD40
D31797_at,CD40LG
L05424_cds2_at,CD44
X59405_at,CD46
X69398_at,CD47
Z25521_s_at,CD47
M37766_at,CD48
X04391_at,CD5
X62466_at,CD52
M37033_at,CD53
M31516_s_at,CD55
Y00636_at,CD58
M84349_at,CD59
X60992_at,CD6
X62654_rna1_at,CD63
S57235_at,CD68
Z30426_at,CD69
M37271_s_at,CD7
D00749_s_at,CD7
L08096_s_at,CD70
M54992_at,CD72
M13560_s_at,CD74
U05259_rna1_at,CD79A
M89957_at,CD79B
M27533_s_at,CD80
M33680_at,CD81
X53795_at,CD82
Z11697_at,CD83
U04343_at,CD86
M27161_at,CD8A
X13444_at,CD8B
M38690_at,CD9
U94333_at,CD93
M88282_at,CD96
M16279_at,CD99
L27943_at,CDA
D14878_at,CDC123
U18291_at,CDC16
U05340_at,CDC20
M81933_at,CDC25A
S78187_at,CDC25B
M34065_at,CDC25C
Z29077_xpt1_at,CDC25C
S78234_at,CDC27
U00001_s_at,CDC27
L22005_at,CDC34
U43077_at,CDC37
M88338_at,CDC42EP1
D85423_at,CDC5L
U77949_at,CDC6
AB003698_at,CDC7
Z35402_rna1_s_at,CDH1
D21255_at,CDH11
L33477_at,CDH12
U59289_at,CDH13
D83542_at,CDH15
X83228_at,CDH17
U07969_s_at,CDH17
U59325_at,CDH18
S42303_at,CDH2
X63629_at,CDH3
L34059_at,CDH4
X79981_at,CDH5
D31784_at,CDH6
L34060_at,CDH8
X05360_at,CDK1
X78342_at,CDK10
M80629_at,CDK13
X66363_at,CDK16
X66360_at,CDK17
X66362_at,CDK18
M68520_at,CDK2
U37022_rna1_at,CDK4
X66364_at,CDK5
X80343_at,CDK5R1
X66365_at,CDK6
L20320_at,CDK7
X85753_at,CDK8
X80230_at,CDK9
X66358_at,CDKL1
X89059_at,CDKL5
U09579_at,CDKN1A
U22398_at,CDKN1C
U26727_at,CDKN2A
L36844_at,CDKN2B
U40343_at,CDKN2D
L25876_at,CDKN3
Z31357_at,CDO1
M31423_s_at,CDR1
M63256_at,CDR2
L02867_at,CDR2L
U60808_s_at,CDS1
L20815_at,CDSN
U51095_at,CDX1
U51096_at,CDX2
X16354_at,CEACAM1
D90276_at,CEACAM4
M29540_at,CEACAM5
M18728_at,CEACAM6
X98311_at,CEACAM7
D90064_at,CEACAM8
U34070_s_at,CEBPA
M83667_rna1_s_at,CEBPD
U48865_s_at,CEBPE
U20240_at,CEBPG
M37197_at,CEBPZ
X54457_s_at,CEL
M16652_at,CELA2A
M16652_s_at,CELA2A
M16653_at,CELA2B
M18700_s_at,CELA3B
U63289_at,CELF1
U69546_at,CELF2
L14813_at,CELP
D87469_at,CELSR2
U14518_at,CENPA
X05299_at,CENPB
M95724_at,CENPC
Z15005_at,CENPE
U30872_at,CENPF
X97249_at,CENPI
U95006_at,CENPX
D42054_at,CEP57
L07765_at,CES1P1
Y09616_at,CES2
U03270_at,CETN1
X72964_at,CETN2
M30185_at,CETP
U84569_at,CFAP410
L15702_at,CFB
M84526_at,CFD
D85939_at,CFDP1
D86549_at,CFDP1
M65292_s_at,CFH
X64877_at,CFHR2
X64877_s_at,CFHR2
X86564_at,CFHR2
X98337_s_at,CFHR3
